Source,Target,Depth,Order
https://www.youtube.com/watch?v=QoBTr_CSMzs,https://www.youtube.com/watch?v=zjaUqUozwdc,0,1
https://www.youtube.com/watch?v=QoBTr_CSMzs,https://www.youtube.com/watch?v=rfGEjhSzNNI,0,2
https://www.youtube.com/watch?v=QoBTr_CSMzs,https://www.youtube.com/watch?v=jKdGDE-_TwI,0,3
https://www.youtube.com/watch?v=zjaUqUozwdc,https://www.youtube.com/watch?v=xVroWRO0duI,1,1
https://www.youtube.com/watch?v=zjaUqUozwdc,https://www.youtube.com/watch?v=M4MgLixMrz8,1,2
https://www.youtube.com/watch?v=zjaUqUozwdc,https://www.youtube.com/watch?v=I7p0EXE-ezk,1,3
https://www.youtube.com/watch?v=rfGEjhSzNNI,https://www.youtube.com/watch?v=CQ10IM-qRj4,1,1
https://www.youtube.com/watch?v=rfGEjhSzNNI,https://www.youtube.com/watch?v=UV3Gm5XGBl0,1,2
https://www.youtube.com/watch?v=rfGEjhSzNNI,https://www.youtube.com/watch?v=fQg5SVPUIAE,1,3
https://www.youtube.com/watch?v=jKdGDE-_TwI,https://www.youtube.com/watch?v=dKLa66r_wa4,1,1
https://www.youtube.com/watch?v=jKdGDE-_TwI,https://www.youtube.com/watch?v=tYf3CpbqAVo,1,2
https://www.youtube.com/watch?v=jKdGDE-_TwI,https://www.youtube.com/watch?v=3_GBfndvcGI,1,3
https://www.youtube.com/watch?v=xVroWRO0duI,https://www.youtube.com/watch?v=zjaUqUozwdc,2,1
https://www.youtube.com/watch?v=xVroWRO0duI,https://www.youtube.com/watch?v=uIXEnRB7TXc,2,2
https://www.youtube.com/watch?v=xVroWRO0duI,https://www.youtube.com/watch?v=q93L-NmVcnE,2,3
https://www.youtube.com/watch?v=M4MgLixMrz8,https://www.youtube.com/watch?v=FDy9FemEk8Y,2,1
https://www.youtube.com/watch?v=M4MgLixMrz8,https://www.youtube.com/watch?v=pYuBpD0UhVA,2,2
https://www.youtube.com/watch?v=M4MgLixMrz8,https://www.youtube.com/watch?v=JPf9rJU3-7A,2,3
https://www.youtube.com/watch?v=I7p0EXE-ezk,https://www.youtube.com/watch?v=grIpyKcPmEo,2,1
https://www.youtube.com/watch?v=I7p0EXE-ezk,https://www.youtube.com/watch?v=rXLPqD5-4i8,2,2
https://www.youtube.com/watch?v=I7p0EXE-ezk,https://www.youtube.com/watch?v=YajpRKBnYE8,2,3
