Date,FamilyFriendly,Genre,Commentaires,Titre,URL,Vues,Suivant,Chaine,Abonnes,Id
2021-02-28,true,Entertainment,-1,PYRORCA - SON DROIT DE RÉPONSE A LA VIDÉO DE MAX EST LA,https://www.youtube.com/watch?v=MgpOf1udE00,488857,"['https://www.youtube.com/watch?v=97HEOMSHl_I', 'https://www.youtube.com/watch?v=i6RIXphF96Y', 'https://www.youtube.com/watch?v=EjqOctRGB7w']",Psyhodelik,-1,https://www.youtube.com/watch?v=MgpOf1udE00
2022-06-01,true,News & Politics,730,"<span dir=""auto"" class=""style-scope yt-formatted-string"">Meeting de la Nouvelle Union Populaire Écologique et Sociale à Paris - </span><a class=""yt-simple-endpoint style-scope yt-formatted-string"" spellcheck=""false"" href=""/hashtag/nupesparis"" dir=""auto"">#NupesParis</a>",https://www.youtube.com/watch?v=97HEOMSHl_I,129959,"['https://www.youtube.com/watch?v=b2c7zbKoows', 'https://www.youtube.com/watch?v=8tk23xxy_7I', 'https://www.youtube.com/watch?v=c_4Ey8T_jeE']",JEAN-LUC MÉLENCHON,-1,https://www.youtube.com/watch?v=97HEOMSHl_I
2019-11-25,true,Education,0,La bande dessinée entre la presse et le livre (1/2) - De Töpffer à Bécassine,https://www.youtube.com/watch?v=i6RIXphF96Y,404,"['https://www.youtube.com/watch?v=j1ONgQzVdbc', 'https://www.youtube.com/watch?v=4kwdK5cOsXg', 'https://www.youtube.com/watch?v=fOA24Z8p6Z0']",Bibliothèque nationale de France BnF,-1,https://www.youtube.com/watch?v=i6RIXphF96Y
2021-06-13,true,Entertainment,-1,TRANQUILLE PYRORCA ?,https://www.youtube.com/watch?v=EjqOctRGB7w,269751,"['https://www.youtube.com/watch?v=Fvsp0j4XAJU', 'https://www.youtube.com/watch?v=wuKgiSLtS-Y', 'https://www.youtube.com/watch?v=MgpOf1udE00']",Psyhodelik,-1,https://www.youtube.com/watch?v=EjqOctRGB7w
2022-06-03,true,News & Politics,-1,Macron veut détruire notre système scolaire,https://www.youtube.com/watch?v=b2c7zbKoows,79062,"['https://www.youtube.com/watch?v=97HEOMSHl_I', 'https://www.youtube.com/watch?v=XA5-IebCoiA', 'https://www.youtube.com/watch?v=Gwougz56s-s']",JEAN-LUC MÉLENCHON,-1,https://www.youtube.com/watch?v=b2c7zbKoows
2022-06-02,true,News & Politics,355,Conférence de presse de la NUPES sur la crise de l'eau avec Jean-Luc Mélenchon,https://www.youtube.com/watch?v=8tk23xxy_7I,50738,"['https://www.youtube.com/watch?v=97HEOMSHl_I', 'https://www.youtube.com/watch?v=b2c7zbKoows', 'https://www.youtube.com/watch?v=vuLKvamKfhY']",JEAN-LUC MÉLENCHON,-1,https://www.youtube.com/watch?v=8tk23xxy_7I
2022-06-02,true,People & Blogs,-1,"Double victoire pour des soignants non vaccinés, leur avocat, Maître Tarek Koraïtem, s'explique",https://www.youtube.com/watch?v=c_4Ey8T_jeE,277167,"['https://www.youtube.com/watch?v=kmVU0jOiOo8', 'https://www.youtube.com/watch?v=GESBkTA2Faw', 'https://www.youtube.com/watch?v=b2c7zbKoows']",Sud Radio,-1,https://www.youtube.com/watch?v=c_4Ey8T_jeE
2019-11-25,true,Education,0,La bande dessinée entre la presse et le livre (2/2) - De Zig et puce au roman graphique,https://www.youtube.com/watch?v=j1ONgQzVdbc,241,"['https://www.youtube.com/watch?v=i6RIXphF96Y', 'https://www.youtube.com/watch?v=gyIYOLU4goY', 'https://www.youtube.com/watch?v=whmlzmWFZjY']",Bibliothèque nationale de France BnF,-1,https://www.youtube.com/watch?v=j1ONgQzVdbc
2022-05-19,true,Education,-1,"Champollion en contexte : déchiffrer les hiéroglyphes, construire un grand savant au XIXe siècle",https://www.youtube.com/watch?v=4kwdK5cOsXg,625,"['https://www.youtube.com/watch?v=toqDqMdarTc', 'https://www.youtube.com/watch?v=VxdwXs900rU', 'https://www.youtube.com/watch?v=AB9oYEusTM8']",Bibliothèque nationale de France BnF,-1,https://www.youtube.com/watch?v=4kwdK5cOsXg
2022-05-19,true,Education,1,La Philosophie du quotidien - Le rire des philosophes,https://www.youtube.com/watch?v=fOA24Z8p6Z0,158,"['https://www.youtube.com/watch?v=4kaxECgShZM', 'https://www.youtube.com/watch?v=nesKjCopY_U', 'https://www.youtube.com/watch?v=DCTleA1TFVc']",Bibliothèque nationale de France BnF,-1,https://www.youtube.com/watch?v=fOA24Z8p6Z0
2022-05-17,true,Education,155,Qui étaient vraiment les révolutionnaires ? - Entretien avec Olivier Coquard,https://www.youtube.com/watch?v=Fvsp0j4XAJU,69080,"['https://www.youtube.com/watch?v=mdH-y2PAGOU', 'https://www.youtube.com/watch?v=zyA1BbE1Uw8', 'https://www.youtube.com/watch?v=5ysUySSNW3M']",Nota Bonus,-1,https://www.youtube.com/watch?v=Fvsp0j4XAJU
2021-06-13,true,Entertainment,-1,"PYRORCA - ""L'AGE ME GONFLE""",https://www.youtube.com/watch?v=wuKgiSLtS-Y,117958,"['https://www.youtube.com/watch?v=MgpOf1udE00', 'https://www.youtube.com/watch?v=EjqOctRGB7w', 'https://www.youtube.com/watch?v=MJON4rrjmHk']",Psyhodelik,-1,https://www.youtube.com/watch?v=wuKgiSLtS-Y
2021-02-28,true,Entertainment,-1,PYRORCA - SON DROIT DE RÉPONSE A LA VIDÉO DE MAX EST LA,https://www.youtube.com/watch?v=MgpOf1udE00,488857,"['https://www.youtube.com/watch?v=97HEOMSHl_I', 'https://www.youtube.com/watch?v=i6RIXphF96Y', 'https://www.youtube.com/watch?v=Fvsp0j4XAJU']",Psyhodelik,-1,https://www.youtube.com/watch?v=MgpOf1udE00
2022-06-01,true,News & Politics,730,"<span dir=""auto"" class=""style-scope yt-formatted-string"">Meeting de la Nouvelle Union Populaire Écologique et Sociale à Paris - </span><a class=""yt-simple-endpoint style-scope yt-formatted-string"" spellcheck=""false"" href=""/hashtag/nupesparis"" dir=""auto"">#NupesParis</a>",https://www.youtube.com/watch?v=97HEOMSHl_I,129959,"['https://www.youtube.com/watch?v=b2c7zbKoows', 'https://www.youtube.com/watch?v=c_4Ey8T_jeE', 'https://www.youtube.com/watch?v=sT6qeNbmHB8']",JEAN-LUC MÉLENCHON,-1,https://www.youtube.com/watch?v=97HEOMSHl_I
2022-06-02,true,News & Politics,303,« Faux frais » et « argent liquide » : de nouveaux éléments mettent en cause le député de la Lozère,https://www.youtube.com/watch?v=XA5-IebCoiA,114031,"['https://www.youtube.com/watch?v=oCrHtasllZI', 'https://www.youtube.com/watch?v=c_4Ey8T_jeE', 'https://www.youtube.com/watch?v=H2UzktwofJI']",Mediapart,-1,https://www.youtube.com/watch?v=XA5-IebCoiA
2022-06-02,true,News & Politics,202,Erreur d'encodage,https://www.youtube.com/watch?v=Gwougz56s-s,46041,"['https://www.youtube.com/watch?v=LZb-A-9QpDo', 'https://www.youtube.com/watch?v=T7NL_y2khHk', 'https://www.youtube.com/watch?v=FqURJqEk9Us']",franceinfo,-1,https://www.youtube.com/watch?v=Gwougz56s-s
