Date,FamilyFriendly,Genre,Commentaires,Titre,URL,Vues,Suivant,Profondeur,Chaine,Abonnes
2022-05-26,true,Science & Technology,75,Erreur d'encodage,https://www.youtube.com/watch?v=AGNKZADLDo4,9298,"['https://www.youtube.com/watch?v=qv1tuSWvM-w', 'https://www.youtube.com/watch?v=98rQ6hLvnZ4', 'https://www.youtube.com/watch?v=UQLRkAvgSCA']",0,Crypto Monnaie Analyse FR,66.4K subscribers
2022-05-27,true,Education,45,Erreur d'encodage,https://www.youtube.com/watch?v=qv1tuSWvM-w,2925,"['https://www.youtube.com/watch?v=C_NsFiLAu34', 'https://www.youtube.com/watch?v=xqGfTuhSWFw', 'https://www.youtube.com/watch?v=FR6jXT_S0VA']",1,Les Rois du Bitcoin,19.9K subscribers
2022-05-27,true,News & Politics,"1,073",Forum de Davos : ce qu’ils mijotent vraiment !,https://www.youtube.com/watch?v=98rQ6hLvnZ4,38521,"['https://www.youtube.com/watch?v=GmLaD0Q8kMc', 'https://www.youtube.com/watch?v=v3twwFDn0qg', 'https://www.youtube.com/watch?v=c80ELzCNmec']",1,FLORIAN PHILIPPOT,358K subscribers
2022-05-27,true,Entertainment,0,"ETHEREUM: UN SAUT DANS LE VIDE, MICROSOFT ET SA BLOCKCHAIN - ACTUALITÉ CRYPTO",https://www.youtube.com/watch?v=UQLRkAvgSCA,62,"['https://www.youtube.com/watch?v=0stmtkXszKo', 'https://www.youtube.com/watch?v=S38bOPPtg_8', 'https://www.youtube.com/watch?v=VFk1yCQqCqk']",1,Café du Koin,274 subscribers
2022-05-27,true,Entertainment,32,Erreur d'encodage,https://www.youtube.com/watch?v=C_NsFiLAu34,7959,"['https://www.youtube.com/watch?v=qv1tuSWvM-w', 'https://www.youtube.com/watch?v=PDZNB_Ko9-I', 'https://www.youtube.com/watch?v=3NzvQhgI1wI']",2,Crypto Le Trone,99.8K subscribers
2022-05-27,true,People & Blogs,41,LE BITCOIN &amp; ETHEREUM VONT VOIR UN GROS MOUVEMENT AUJOURD'HUI [24 Heures...],https://www.youtube.com/watch?v=xqGfTuhSWFw,3375,"['https://www.youtube.com/watch?v=A3_7KeBvdA8', 'https://www.youtube.com/watch?v=f0e-Soo1qFQ', 'https://www.youtube.com/watch?v=xXiXGflLqnk']",2,Satoshi Stacker FR,26.7K subscribers
2022-05-26,true,Comedy,420,"Sylvain, le serial killer - Les duos impossibles 8ème édition",https://www.youtube.com/watch?v=FR6jXT_S0VA,327843,"['https://www.youtube.com/watch?v=SoZIb_PO-CM', 'https://www.youtube.com/watch?v=gYCmNf9WVAw', 'https://www.youtube.com/watch?v=fdAYnrFOhos']",2,Les Duos Impossibles de Jérémy Ferrari,197K subscribers
2022-05-25,true,News & Politics,"1,609",Adrien Bocquet «&nbsp;affabulateur&nbsp;» ? Énorme coup de gueule d’André Bercoff contre CheckNews,https://www.youtube.com/watch?v=GmLaD0Q8kMc,136397,"['https://www.youtube.com/watch?v=3dW0DhAWJdE', 'https://www.youtube.com/watch?v=Lo7tUSRpJ1Y', 'https://www.youtube.com/watch?v=gk6NmJV0jlE']",2,Sud Radio,631K subscribers
2022-05-21,true,Entertainment,"1,599","""Cette guerre qui vient"" avec Xavier MOREAU de STRATPOL.",https://www.youtube.com/watch?v=v3twwFDn0qg,228005,"['https://www.youtube.com/watch?v=Lo7tUSRpJ1Y', 'https://www.youtube.com/watch?v=za8jzdao20Y', 'https://www.youtube.com/watch?v=cH-0jS_ofSo']",2,LE PEUPLE DE FRANCE - TV,10.6K subscribers
2022-05-06,true,News & Politics,"2,711","Pr Didier Raoult - Covid 19 : ""Une crise de nerfs généralisée et des bénéfices inouïs !""",https://www.youtube.com/watch?v=c80ELzCNmec,657591,"['https://www.youtube.com/watch?v=T7UkIu0SH20', 'https://www.youtube.com/watch?v=n6INZgNijvA', 'https://www.youtube.com/watch?v=94IxSYo5wtM']",2,Sud Radio,631K subscribers
2022-05-19,true,Science & Technology,25,L' effondrement du stablecoin qui fait trembler l'industrie crypto – Les Contes de Monte-Crypto,https://www.youtube.com/watch?v=0stmtkXszKo,6864,"['https://www.youtube.com/watch?v=SMlrFOcYc40', 'https://www.youtube.com/watch?v=5TJwOCY9UyA', 'https://www.youtube.com/watch?v=v3twwFDn0qg']",2,Cryptoast,125K subscribers
2022-05-26,true,Education,24,Analyse Complète Bitcoin Crypto Juin 2022,https://www.youtube.com/watch?v=S38bOPPtg_8,1024,"['https://www.youtube.com/watch?v=pf2ZvjluZ5Q', 'https://www.youtube.com/watch?v=gz-MN3s-jcQ', 'https://www.youtube.com/watch?v=mUqS4Zyu1PY']",2,Ulysse tif,7.45K subscribers
2022-05-24,true,Entertainment,2,"ACTUALITÉ BITCOIN : LE FMI TACLE LA CRYPTO, BILL GATES ET LAGARDE EN RENFORT?",https://www.youtube.com/watch?v=VFk1yCQqCqk,254,"['https://www.youtube.com/watch?v=0stmtkXszKo', 'https://www.youtube.com/watch?v=du34gPopY5Y', 'https://www.youtube.com/watch?v=r8AsQ9TVKuA']",2,Café du Koin,275 subscribers
2022-05-27,true,Education,45,Erreur d'encodage,https://www.youtube.com/watch?v=qv1tuSWvM-w,2925,"['https://www.youtube.com/watch?v=5sl5Ov7sxZc', 'https://www.youtube.com/watch?v=FR6jXT_S0VA', 'https://www.youtube.com/watch?v=xqGfTuhSWFw']",3,Les Rois du Bitcoin,19.9K subscribers
2022-05-27,true,Education,43,Erreur d'encodage,https://www.youtube.com/watch?v=PDZNB_Ko9-I,2491,"['https://www.youtube.com/watch?v=1L5U37rc8qc', 'https://www.youtube.com/watch?v=eV7XVuONe_U', 'https://www.youtube.com/watch?v=yOUaSSZK6Ts']",3,Julien Roman,216K subscribers
