Date,FamilyFriendly,Genre,Commentaires,Titre,URL,Vues,Suivant,Profondeur,Chaine,Abonnes
2021-12-19,true,News & Politics,"2,328","Philippe De Villiers sur la vaccination : ""On nous ment""",https://www.youtube.com/watch?v=CIr8QIcpgi8,481311,"['https://www.youtube.com/watch?v=HpUVJcKBMb0', 'https://www.youtube.com/watch?v=c80ELzCNmec', 'https://www.youtube.com/watch?v=mwLlt3kob50']",0,Europe 1,1.06M subscribers
2021-12-15,true,Film & Animation,"9,245",Antivax - Les marchands de doute | ARTE,https://www.youtube.com/watch?v=HpUVJcKBMb0,893248,"['https://www.youtube.com/watch?v=OiTS0uZa7LU', 'https://www.youtube.com/watch?v=YBDy2kUxOn0', 'https://www.youtube.com/watch?v=43Ia9K2JZco']",1,ARTE,2.44M subscribers
2022-05-06,true,News & Politics,"2,850","Pr Didier Raoult - Covid 19 : ""Une crise de nerfs généralisée et des bénéfices inouïs !""",https://www.youtube.com/watch?v=c80ELzCNmec,672433,"['https://www.youtube.com/watch?v=T7UkIu0SH20', 'https://www.youtube.com/watch?v=94IxSYo5wtM', 'https://www.youtube.com/watch?v=wNKwetQ9Df0']",1,Sud Radio,636K subscribers
2021-12-19,true,News & Politics,"7,293","Philippe de Villiers : ""Le pass sanitaire, c'est de l'apartheid""",https://www.youtube.com/watch?v=mwLlt3kob50,856750,"['https://www.youtube.com/watch?v=W10_2CFTlds', 'https://www.youtube.com/watch?v=DkKUrZtNlps', 'https://www.youtube.com/watch?v=tGVTyPqzGq4']",1,Europe 1,1.06M subscribers
2022-01-06,true,Film & Animation,701,Et si Marx avait raison ? | Capitalisme (4/6) | ARTE,https://www.youtube.com/watch?v=OiTS0uZa7LU,416095,"['https://www.youtube.com/watch?v=NDwjWaMrmlA', 'https://www.youtube.com/watch?v=8gH-5xiM2do', 'https://www.youtube.com/watch?v=r8fyFWxg4GM']",2,ARTE,2.44M subscribers
2020-07-29,true,Film & Animation,"1,293","Notre ami l'atome, un siècle de radioactivité | ARTE",https://www.youtube.com/watch?v=YBDy2kUxOn0,714449,"['https://www.youtube.com/watch?v=p3YYqxqFrMk', 'https://www.youtube.com/watch?v=_wFbYyDUJfw', 'https://www.youtube.com/watch?v=sr8qq1211XY']",2,ARTE,2.44M subscribers
2020-08-13,true,Science & Technology,"2,953",Conférence de l'après-midi - La Terre est plate et immobile - Sylvain CHATY,https://www.youtube.com/watch?v=43Ia9K2JZco,278194,"['https://www.youtube.com/watch?v=RPonxuhgGho', 'https://www.youtube.com/watch?v=cTkZ70SRViU', 'https://www.youtube.com/watch?v=rWuWzXjaID8']",2,Festival d'Astronomie de Fleurance,13.9K subscribers
2022-05-08,true,Entertainment,"2,105",Didier Raoult répond à toutes les questions des chroniqueurs dans TPMP !,https://www.youtube.com/watch?v=T7UkIu0SH20,512120,"['https://www.youtube.com/watch?v=aN_hyUtJb4E', 'https://www.youtube.com/watch?v=c80ELzCNmec', 'https://www.youtube.com/watch?v=M_n5cNg8r6Q']",2,Touche pas à mon poste !,1.98M subscribers
2022-05-10,true,Nonprofits & Activism,"1,467","Pour une révolution politique, poétique et philosophique avec l'astrophysicien Aurélien Barrau",https://www.youtube.com/watch?v=94IxSYo5wtM,445005,"['https://www.youtube.com/watch?v=J-DVS5az6jg', 'https://www.youtube.com/watch?v=c80ELzCNmec', 'https://www.youtube.com/watch?v=XO4q9oVrWWw']",2,France Inter,842K subscribers
2022-04-26,true,News & Politics,"2,561","Laurent Toubiana : ""Ils ont joué sur la sidération et le mensonge !""",https://www.youtube.com/watch?v=wNKwetQ9Df0,490319,"['https://www.youtube.com/watch?v=7wQDTHRcjew', 'https://www.youtube.com/watch?v=2muwA855M6Y', 'https://www.youtube.com/watch?v=_P2Kjea2YEQ']",2,Sud Radio,636K subscribers
2021-04-10,true,Entertainment,"3,141",Philippe de Villiers était l'invité d'Apolline de Malherbe,https://www.youtube.com/watch?v=W10_2CFTlds,487395,"['https://www.youtube.com/watch?v=7LNi-Xk9T48', 'https://www.youtube.com/watch?v=MaYLox0-wgg', 'https://www.youtube.com/watch?v=ftC5qBZS2ZQ']",2,BFMTV,1.29M subscribers
2022-01-19,true,News & Politics,"2,377","Dr Gérald Kierzek : ""La stratégie du tout vaccinal est une erreur""",https://www.youtube.com/watch?v=DkKUrZtNlps,726841,"['https://www.youtube.com/watch?v=0lWGuWHZabc', 'https://www.youtube.com/watch?v=OuGxiT9oLhA', 'https://www.youtube.com/watch?v=94IxSYo5wtM']",2,Europe 1,1.06M subscribers
2022-05-24,true,News & Politics,"1,646","Olivier Piacentini - Forum de Davos, OMS : et s'ils voulaient dissoudre les peuples ?",https://www.youtube.com/watch?v=tGVTyPqzGq4,307447,"['https://www.youtube.com/watch?v=OvvgWgUSFdQ', 'https://www.youtube.com/watch?v=asgHKNE0RXI', 'https://www.youtube.com/watch?v=GESBkTA2Faw']",2,Sud Radio,636K subscribers
2022-01-07,true,Film & Animation,76,"Keynes/Hayek, un combat truqué ? | Capitalisme (5/6) | ARTE",https://www.youtube.com/watch?v=NDwjWaMrmlA,101291,"['https://www.youtube.com/watch?v=GzOsIeJGFVc', 'https://www.youtube.com/watch?v=ei2qTdOYW8Q', 'https://www.youtube.com/watch?v=XOSuFQj_eBk']",3,ARTE,2.44M subscribers
2022-03-05,true,Howto & Style,297,Et si le monde tournait rond ? | ARTE,https://www.youtube.com/watch?v=8gH-5xiM2do,339827,"['https://www.youtube.com/watch?v=zZcNVxu59Vc', 'https://www.youtube.com/watch?v=5ysUySSNW3M', 'https://www.youtube.com/watch?v=Mgd0_jv6TS4']",3,ARTE Découverte,760K subscribers
2022-03-13,true,Film & Animation,363,Bien nourrir son cerveau | ARTE,https://www.youtube.com/watch?v=r8fyFWxg4GM,488834,"['https://www.youtube.com/watch?v=hPXQH6gOuJM', 'https://www.youtube.com/watch?v=uCVly_8M5f8', 'https://www.youtube.com/watch?v=T9hLE1BJT4w']",3,ARTE,2.44M subscribers
2021-10-17,true,News & Politics,746,"Accidents nucléaires, fuites radioactives et pollution de l’eau : la politique du mensonge - PL",https://www.youtube.com/watch?v=p3YYqxqFrMk,76793,"['https://www.youtube.com/watch?v=54cEvUOm5rM', 'https://www.youtube.com/watch?v=IZFkrXduDP4', 'https://www.youtube.com/watch?v=EZSwOLd4UOI']",3,Notre société,24.3K subscribers
2022-04-15,true,Film & Animation,99,"Sagrada Família, le défi de Gaudí | ARTE",https://www.youtube.com/watch?v=_wFbYyDUJfw,120172,"['https://www.youtube.com/watch?v=htybo2xkNsY', 'https://www.youtube.com/watch?v=o1IKhe817kw', 'https://www.youtube.com/watch?v=n2IUfk0z5Is']",3,ARTE,2.44M subscribers
2021-02-14,true,Entertainment,266,The Great Battles - Hitler and the Nazis,https://www.youtube.com/watch?v=sr8qq1211XY,188147,"['https://www.youtube.com/watch?v=KxJE_wexII4', 'https://www.youtube.com/watch?v=4xDOfxSh2XY', 'https://www.youtube.com/watch?v=vHeBfSZDUVc']",3,La 2de Guerre Mondiale,86.5K subscribers
2020-08-11,true,Science & Technology,22,"Conférence du soir - Impact, de la fiction à la réalité - Roland LEHOUCQ et Sylvain BOULEY",https://www.youtube.com/watch?v=RPonxuhgGho,44159,"['https://www.youtube.com/watch?v=t65Y--FguZw', 'https://www.youtube.com/watch?v=2GWWEgzNpmU', 'https://www.youtube.com/watch?v=ZESC4JAKSdY']",3,Festival d'Astronomie de Fleurance,13.9K subscribers
2022-03-31,true,News & Politics,93,Les Dossiers de L'Ecran : Pétain | Archive INA,https://www.youtube.com/watch?v=cTkZ70SRViU,14587,"['https://www.youtube.com/watch?v=7U-20hE336g', 'https://www.youtube.com/watch?v=etW5ZOve2q0', 'https://www.youtube.com/watch?v=R2Dngz6YuHw']",3,INA Histoire,181K subscribers
2020-08-09,true,Science & Technology,-1,Initiation - Comprendre les notions de temps et de distances dans l’Univers - Patrick LECUREUIL,https://www.youtube.com/watch?v=rWuWzXjaID8,160809,"['https://www.youtube.com/watch?v=Q-WYDOwxR7s', 'https://www.youtube.com/watch?v=umfvh21sZ_M', 'https://www.youtube.com/watch?v=cdzMtR3-u4Q']",3,Festival d'Astronomie de Fleurance,13.9K subscribers
2022-05-15,true,Entertainment,"1,556","Fabrice Di Vizio, accusé d'avoir ""prolongé les souffrances"" d'un jeune homme mourant ?",https://www.youtube.com/watch?v=aN_hyUtJb4E,262666,"['https://www.youtube.com/watch?v=qau85pW3xKc', 'https://www.youtube.com/watch?v=ssKpmRXbAZI', 'https://www.youtube.com/watch?v=c7Z1AQxEf80']",3,Touche pas à mon poste !,1.98M subscribers
2022-05-06,true,News & Politics,"2,850","Pr Didier Raoult - Covid 19 : ""Une crise de nerfs généralisée et des bénéfices inouïs !""",https://www.youtube.com/watch?v=c80ELzCNmec,672443,"['https://www.youtube.com/watch?v=T7UkIu0SH20', 'https://www.youtube.com/watch?v=thHst0AD7oo', 'https://www.youtube.com/watch?v=94IxSYo5wtM']",3,Sud Radio,636K subscribers
2022-05-19,true,Entertainment,"1,689",Benjamin Castaldi annonce que le gouvernement pourrait tabler sur 10 doses de rappel,https://www.youtube.com/watch?v=M_n5cNg8r6Q,201177,"['https://www.youtube.com/watch?v=aN_hyUtJb4E', 'https://www.youtube.com/watch?v=woc9ejQmHIo', 'https://www.youtube.com/watch?v=GquliPM0ilc']",3,Touche pas à mon poste !,1.98M subscribers
2022-03-26,true,News & Politics,"1,113","Jean-Marc Jancovici, président de The Shift Project, invité d'On n'arrête pas l'éco",https://www.youtube.com/watch?v=J-DVS5az6jg,222181,"['https://www.youtube.com/watch?v=Tl8CuFr2sag', 'https://www.youtube.com/watch?v=8kluunIyPKw', 'https://www.youtube.com/watch?v=gIMTXrhj_EM']",3,France Inter,842K subscribers
2022-05-06,true,News & Politics,"2,850","Pr Didier Raoult - Covid 19 : ""Une crise de nerfs généralisée et des bénéfices inouïs !""",https://www.youtube.com/watch?v=c80ELzCNmec,672443,"['https://www.youtube.com/watch?v=T7UkIu0SH20', 'https://www.youtube.com/watch?v=wNKwetQ9Df0', 'https://www.youtube.com/watch?v=94IxSYo5wtM']",3,Sud Radio,636K subscribers
2018-09-14,true,News & Politics,403,Quand la Science appelle à l'aide pour l'humanité ? Aurélien Barrau [EN DIRECT],https://www.youtube.com/watch?v=XO4q9oVrWWw,1796864,"['https://www.youtube.com/watch?v=qifPvO64V_E', 'https://www.youtube.com/watch?v=asL_UErJRl8', 'https://www.youtube.com/watch?v=sIJd1kuR2Ps']",3,Thinkerview,977K subscribers
2022-04-27,true,News & Politics,819,"""Nous approchons de jour en jour de la tyrannie"" - Philippe Bornet",https://www.youtube.com/watch?v=7wQDTHRcjew,254398,"['https://www.youtube.com/watch?v=TGdN_rwBFiE', 'https://www.youtube.com/watch?v=kmVU0jOiOo8', 'https://www.youtube.com/watch?v=K3FTA9F-5-M']",3,Sud Radio,636K subscribers
2022-05-05,true,News & Politics,835,Comment la France d'Emmanuel Macron solde nos intérêts nationaux - Marc Endeweld,https://www.youtube.com/watch?v=2muwA855M6Y,275559,"['https://www.youtube.com/watch?v=CTQ6C0HVTUY', 'https://www.youtube.com/watch?v=rcYEVgyu6EQ', 'https://www.youtube.com/watch?v=_271E7uyUXM']",3,Sud Radio,636K subscribers
2022-04-27,true,News & Politics,268,Comment l’idéologie woke infiltre la société ?,https://www.youtube.com/watch?v=_P2Kjea2YEQ,38371,"['https://www.youtube.com/watch?v=Zwb5CNqMlr8', 'https://www.youtube.com/watch?v=xvNIyCZQgj0', 'https://www.youtube.com/watch?v=F-IOOOPnIF4']",3,Sud Radio,636K subscribers
2021-06-12,true,Entertainment,"1,434",Michel Onfray était l'invité d'Apolline de Malherbe -,https://www.youtube.com/watch?v=7LNi-Xk9T48,258193,"['https://www.youtube.com/watch?v=365KYGVpSbM', 'https://www.youtube.com/watch?v=r_e4u0rwpxg', 'https://www.youtube.com/watch?v=f-gRsBNDXK8']",3,BFMTV,1.29M subscribers
2022-02-22,true,Howto & Style,"3,077","Juan Branco : ""Où Macron réussira-t-il à vivre après son quinquennat ?""",https://www.youtube.com/watch?v=MaYLox0-wgg,1124955,"['https://www.youtube.com/watch?v=OvvgWgUSFdQ', 'https://www.youtube.com/watch?v=X5yRIPifHdQ', 'https://www.youtube.com/watch?v=g9iUG7fZCNM']",3,Sud Radio,636K subscribers
2020-11-13,true,Entertainment,"5,084",Nicolas Sarkozy était l’invité exceptionnel de Ruth Elkrief,https://www.youtube.com/watch?v=ftC5qBZS2ZQ,886309,"['https://www.youtube.com/watch?v=oSu2D59ve34', 'https://www.youtube.com/watch?v=7tu15CD6qT0', 'https://www.youtube.com/watch?v=isK7fY73q8M']",3,BFMTV,1.29M subscribers
2022-01-13,true,News & Politics,"1,549","Professeur Éric Caumes sur la vaccination : ""On a fait une erreur stratégique""",https://www.youtube.com/watch?v=0lWGuWHZabc,471236,"['https://www.youtube.com/watch?v=CoDVIG2kYzY', 'https://www.youtube.com/watch?v=D8hvDKHIxKw', 'https://www.youtube.com/watch?v=FMYcAUb_JNE']",3,Europe 1,1.06M subscribers
2022-01-09,true,News & Politics,"1,792","En toute vérité avec Dr Gérald Kierzek et Alexandre Jardin : Crise du Covid, en fait-on trop ?",https://www.youtube.com/watch?v=OuGxiT9oLhA,457712,"['https://www.youtube.com/watch?v=JxnZaJNosUA', 'https://www.youtube.com/watch?v=7vVuq5Llub0', 'https://www.youtube.com/watch?v=FhUmXLrvfos']",3,Sud Radio,636K subscribers
2022-05-10,true,Nonprofits & Activism,"1,467","Pour une révolution politique, poétique et philosophique avec l'astrophysicien Aurélien Barrau",https://www.youtube.com/watch?v=94IxSYo5wtM,445014,"['https://www.youtube.com/watch?v=XO4q9oVrWWw', 'https://www.youtube.com/watch?v=J-DVS5az6jg', 'https://www.youtube.com/watch?v=A-VYejgUCP4']",3,France Inter,842K subscribers
2022-06-01,true,People & Blogs,816,«&nbsp;Poutine à la Cour pénale internationale ? Bush est toujours dans l’antichambre !&nbsp;» - Pierre Conesa,https://www.youtube.com/watch?v=OvvgWgUSFdQ,241017,"['https://www.youtube.com/watch?v=lwaRXj-AlMI', 'https://www.youtube.com/watch?v=MCnFkgV8Eso', 'https://www.youtube.com/watch?v=--Dfa7eRUAE']",3,Sud Radio,636K subscribers
